predicted binding affinity,receptor-ligand
      5.4567,  2yrq.pdbqt; Z1418869274.pdbqt; 2yrq_pocket.pdbqt
      5.5075,  2yrq.pdbqt; Z223587498.pdbqt; 2yrq_pocket.pdbqt
      5.3233,  2yrq.pdbqt; Z245063232.pdbqt; 2yrq_pocket.pdbqt
      5.6468,  2yrq.pdbqt; Z1688099895.pdbqt; 2yrq_pocket.pdbqt
      6.1434,  2yrq.pdbqt; Z1170443834.pdbqt; 2yrq_pocket.pdbqt
      6.0163,  2yrq.pdbqt; Z99137611.pdbqt; 2yrq_pocket.pdbqt
      4.9456,  2yrq.pdbqt; Z4076456907.pdbqt; 2yrq_pocket.pdbqt
      5.2020,  2yrq.pdbqt; Z1623889224.pdbqt; 2yrq_pocket.pdbqt
      5.7736,  2yrq.pdbqt; Z98625071.pdbqt; 2yrq_pocket.pdbqt
      5.4912,  2yrq.pdbqt; Z1849816748.pdbqt; 2yrq_pocket.pdbqt
      5.7107,  2yrq.pdbqt; Z1187927440.pdbqt; 2yrq_pocket.pdbqt
      6.1629,  2yrq.pdbqt; Z383087394.pdbqt; 2yrq_pocket.pdbqt
      6.8015,  2yrq.pdbqt; Z88975645.pdbqt; 2yrq_pocket.pdbqt
      5.8770,  2yrq.pdbqt; Z106408446.pdbqt; 2yrq_pocket.pdbqt
      5.6175,  2yrq.pdbqt; Z83277019.pdbqt; 2yrq_pocket.pdbqt
      6.1342,  2yrq.pdbqt; Z94729234.pdbqt; 2yrq_pocket.pdbqt
      6.0912,  2yrq.pdbqt; Z106917638.pdbqt; 2yrq_pocket.pdbqt
      6.0838,  2yrq.pdbqt; Z134787632.pdbqt; 2yrq_pocket.pdbqt
      5.0250,  2yrq.pdbqt; Z2433619118.pdbqt; 2yrq_pocket.pdbqt
      5.4511,  2yrq.pdbqt; Z1849599548.pdbqt; 2yrq_pocket.pdbqt
      5.5257,  2yrq.pdbqt; Z1953104692.pdbqt; 2yrq_pocket.pdbqt
      5.9200,  2yrq.pdbqt; Z1296531470.pdbqt; 2yrq_pocket.pdbqt
      6.1148,  2yrq.pdbqt; Z116834442.pdbqt; 2yrq_pocket.pdbqt
      6.2832,  2yrq.pdbqt; Z1695509529.pdbqt; 2yrq_pocket.pdbqt
      5.8026,  2yrq.pdbqt; Z1165357667.pdbqt; 2yrq_pocket.pdbqt
      5.9853,  2yrq.pdbqt; Z385077128.pdbqt; 2yrq_pocket.pdbqt
      6.7451,  2yrq.pdbqt; Z228269080.pdbqt; 2yrq_pocket.pdbqt
      4.8138,  2yrq.pdbqt; Z1273101583.pdbqt; 2yrq_pocket.pdbqt
      5.2273,  2yrq.pdbqt; Z2447455936.pdbqt; 2yrq_pocket.pdbqt
      5.7966,  2yrq.pdbqt; Z105734882.pdbqt; 2yrq_pocket.pdbqt
      5.4766,  2yrq.pdbqt; Z126474094.pdbqt; 2yrq_pocket.pdbqt
      6.7389,  2yrq.pdbqt; Z84040538.pdbqt; 2yrq_pocket.pdbqt
      5.9076,  2yrq.pdbqt; Z83276970.pdbqt; 2yrq_pocket.pdbqt
      5.7501,  2yrq.pdbqt; Z73431548.pdbqt; 2yrq_pocket.pdbqt
      6.2638,  2yrq.pdbqt; Z85917607.pdbqt; 2yrq_pocket.pdbqt
      5.5351,  2yrq.pdbqt; Z2068638033.pdbqt; 2yrq_pocket.pdbqt
      4.9786,  2yrq.pdbqt; Z1155567160.pdbqt; 2yrq_pocket.pdbqt
      5.8629,  2yrq.pdbqt; Z83985543.pdbqt; 2yrq_pocket.pdbqt
      5.1376,  2yrq.pdbqt; Z70810472.pdbqt; 2yrq_pocket.pdbqt
      5.7883,  2yrq.pdbqt; Z26272180.pdbqt; 2yrq_pocket.pdbqt
      5.6224,  2yrq.pdbqt; Z211286682.pdbqt; 2yrq_pocket.pdbqt
      5.9341,  2yrq.pdbqt; Z1945704111.pdbqt; 2yrq_pocket.pdbqt
      5.9340,  2yrq.pdbqt; Z126474216.pdbqt; 2yrq_pocket.pdbqt
      5.7611,  2yrq.pdbqt; Z265153758.pdbqt; 2yrq_pocket.pdbqt
      5.5386,  2yrq.pdbqt; Z89101397.pdbqt; 2yrq_pocket.pdbqt
      5.2397,  2yrq.pdbqt; Z363268404.pdbqt; 2yrq_pocket.pdbqt
      4.9733,  2yrq.pdbqt; Z1285968625.pdbqt; 2yrq_pocket.pdbqt
      6.0119,  2yrq.pdbqt; Z1233866596.pdbqt; 2yrq_pocket.pdbqt
      5.9588,  2yrq.pdbqt; Z1849433668.pdbqt; 2yrq_pocket.pdbqt
      5.8257,  2yrq.pdbqt; Z1849816530.pdbqt; 2yrq_pocket.pdbqt
      5.8249,  2yrq.pdbqt; Z1166028828.pdbqt; 2yrq_pocket.pdbqt
      6.7720,  2yrq.pdbqt; Z1170429150.pdbqt; 2yrq_pocket.pdbqt
      6.0564,  2yrq.pdbqt; Z1849572215.pdbqt; 2yrq_pocket.pdbqt
      6.2142,  2yrq.pdbqt; Z1170429120.pdbqt; 2yrq_pocket.pdbqt
      5.5713,  2yrq.pdbqt; Z119073850.pdbqt; 2yrq_pocket.pdbqt
      6.4228,  2yrq.pdbqt; Z82224038.pdbqt; 2yrq_pocket.pdbqt
      6.0846,  2yrq.pdbqt; Z25742089.pdbqt; 2yrq_pocket.pdbqt
      6.3196,  2yrq.pdbqt; Z271090688.pdbqt; 2yrq_pocket.pdbqt
      5.3058,  2yrq.pdbqt; Z1490480310.pdbqt; 2yrq_pocket.pdbqt
      5.7216,  2yrq.pdbqt; Z1165357648.pdbqt; 2yrq_pocket.pdbqt
      5.4326,  2yrq.pdbqt; Z1719542517.pdbqt; 2yrq_pocket.pdbqt
      6.0894,  2yrq.pdbqt; Z1849820395.pdbqt; 2yrq_pocket.pdbqt
      6.7031,  2yrq.pdbqt; Z1170446122.pdbqt; 2yrq_pocket.pdbqt
